step_id,metric_id,score,scored_by,scored_date,comment
S01,M01,4,Analyst,2025-01-12,Refund requests have good data - order history and payment info available
S01,M02,4,Analyst,2025-01-12,Data quality good but some edge cases with partial refunds
S01,M03,4,Analyst,2025-01-12,Well-documented refund policy and process
S01,M04,4,Analyst,2025-01-12,Payment system APIs available
S01,M05,3,Analyst,2025-01-12,Many refunds need judgment on policy exceptions
S01,M06,3,Analyst,2025-01-12,Request language varies significantly
S01,M07,4,Analyst,2025-01-12,High rate of exceptions needing human judgment
S01,M08,4,Analyst,2025-01-12,Good assist opportunity - AI drafts and human approves
S01,M09,4,Analyst,2025-01-12,Financial data involved - compliance requirements
S01,M10,4,Analyst,2025-01-12,Wrong refund decision = customer churn risk
S01,M11,3,Analyst,2025-01-12,Errors caught but reversal is costly
S02,M01,4,Analyst,2025-01-12,Bug reports have product/version info
S02,M02,3,Analyst,2025-01-12,User descriptions vary in quality
S02,M03,3,Analyst,2025-01-12,Troubleshooting trees exist but complex
S02,M04,4,Analyst,2025-01-12,Integration with bug tracking possible
S02,M05,3,Analyst,2025-01-12,Initial triage automatable - resolution less so
S02,M06,2,Analyst,2025-01-12,Bug descriptions highly variable
S02,M07,4,Analyst,2025-01-12,Many unique bugs need investigation
S02,M08,4,Analyst,2025-01-12,Great for AI-assisted diagnosis
S02,M09,2,Analyst,2025-01-12,Low compliance risk
S02,M10,3,Analyst,2025-01-12,Wrong diagnosis wastes time but recoverable
S02,M11,4,Analyst,2025-01-12,Errors easily caught in testing
S03,M01,4,Analyst,2025-01-12,Product specs and compatibility databases exist
S03,M02,4,Analyst,2025-01-12,Structured compatibility data
S03,M03,4,Analyst,2025-01-12,Clear lookup process
S03,M04,4,Analyst,2025-01-12,Product database APIs available
S03,M05,5,Analyst,2025-01-12,Pure lookup - highly automatable
S03,M06,4,Analyst,2025-01-12,Questions follow predictable patterns
S03,M07,2,Analyst,2025-01-12,Few exceptions - compatibility is binary
S03,M08,3,Analyst,2025-01-12,Can fully automate most cases
S03,M09,1,Analyst,2025-01-12,No sensitive data
S03,M10,2,Analyst,2025-01-12,Wrong answer frustrating but not critical
S03,M11,5,Analyst,2025-01-12,Customer can verify compatibility themselves
S04,M01,4,Analyst,2025-01-12,Order tracking data available
S04,M02,4,Analyst,2025-01-12,Shipping data generally reliable
S04,M03,4,Analyst,2025-01-12,Standard escalation to logistics
S04,M04,4,Analyst,2025-01-12,Carrier APIs available
S04,M05,4,Analyst,2025-01-12,Status lookup highly automatable
S04,M06,4,Analyst,2025-01-12,Where is my order queries consistent
