step_id,step_name,process_area,automation_candidate,volume_share,readiness_score_0_100,suitability_score_0_100,risk_score_0_100,monthly_volume,monthly_manual_cost,monthly_savings_est,annual_savings_est,implementation_cost_est,payback_months,roi_ratio,roi_score_0_100,priority_score_0_100,recommendation,scenario_id,company_id
S09,Product setup,Technical,Full,0.062,100.0,87.5,0.0,527.0,4242.349999999999,2375.72,28508.59,23700.0,9.98,1.2,84.06,92.83,PRIORITY 1 - Strong candidate for full automation,SCN_BASE,DEMO_CO
S08,Installation support,Technical,Partial,0.063,93.75,82.5,8.75,535.5,5747.7,1839.26,22071.17,18900.0,10.28,1.17,83.36,88.57,PRIORITY 1 - Strong candidate for full automation,SCN_BASE,DEMO_CO
S11,Product recommendation,Sales,Full,0.061,93.75,82.5,8.75,518.5,3339.1399999999994,1869.92,22439.02,23700.0,12.67,0.95,75.74,85.15,PRIORITY 1 - Strong candidate for full automation,SCN_BASE,DEMO_CO
S06,Battery life,Technical,Partial,0.064,75.0,75.0,8.75,544.0,5255.039999999999,1681.61,20179.35,18900.0,11.24,1.07,81.35,81.11,PRIORITY 1 - Strong candidate for full automation,SCN_BASE,DEMO_CO
S16,Display issue,Technical,Partial,0.056,75.0,63.75,25.0,476.0,6386.333333333334,2043.63,24523.52,18900.0,9.25,1.3,85.95,79.93,PRIORITY 1 - Strong candidate for full automation,SCN_BASE,DEMO_CO
S07,Network problem,Technical,Partial,0.064,68.75,63.75,17.5,544.0,6422.826666666665,2055.3,24663.65,18900.0,9.2,1.3,86.1,79.31,PRIORITY 1 - Strong candidate for full automation,SCN_BASE,DEMO_CO
S03,Product compatibility,Product,Partial,0.067,75.0,76.25,8.75,569.5,4584.474999999999,1467.03,17604.38,18900.0,12.88,0.93,74.52,78.03,PRIORITY 1 - Strong candidate for full automation,SCN_BASE,DEMO_CO
S04,Delivery problem,Logistics,Partial,0.066,75.0,70.0,33.75,561.0,6021.4,1926.85,23122.18,18900.0,9.81,1.22,84.47,77.51,PRIORITY 1 - Strong candidate for full automation,SCN_BASE,DEMO_CO
S12,Account access,Account,Full,0.06,100.0,81.25,42.5,510.0,2737.0,1532.72,18392.64,23700.0,15.46,0.78,62.08,74.44,PRIORITY 1 - Implement with human-in-loop safeguards,SCN_BASE,DEMO_CO
S02,Software bug,Technical,Assist,0.068,62.5,45.0,33.75,578.0,10856.766666666666,1737.08,20844.99,15700.0,9.04,1.33,86.55,74.07,PRIORITY 1 - Strong candidate for full automation,SCN_BASE,DEMO_CO
S13,Peripheral compatibility,Product,Partial,0.059,75.0,76.25,8.75,501.5,4037.075,1291.86,15502.37,18900.0,14.63,0.82,65.62,74.03,PRIORITY 1 - Strong candidate for full automation,SCN_BASE,DEMO_CO
S01,Refund request,Billing,Assist,0.068,75.0,51.25,67.5,578.0,9305.8,1488.93,17867.14,15700.0,10.54,1.14,82.76,69.99,PRIORITY 2 - Good candidate for AI-assisted workflow,SCN_BASE,DEMO_CO
S05,Hardware issue,Technical,Assist,0.065,56.25,45.0,50.0,552.5,11860.33333333333,1897.65,22771.84,15700.0,8.27,1.45,89.01,69.74,PRIORITY 2 - Good candidate for AI-assisted workflow,SCN_BASE,DEMO_CO
S15,Cancellation request,Billing,Assist,0.058,75.0,51.25,58.75,493.0,5291.533333333333,846.65,10159.74,15700.0,18.54,0.65,51.77,57.8,PRIORITY 2 - Good candidate for AI-assisted workflow,SCN_BASE,DEMO_CO
S10,Payment issue,Billing,Partial,0.062,75.0,63.75,83.75,527.0,7070.583333333333,2262.59,27151.04,18900.0,8.35,1.44,88.73,0.0,"HIGH RISK - Keep human-operated, monitor for changes",SCN_BASE,DEMO_CO
S14,Data loss,Technical,Assist,0.058,50.0,32.5,91.25,493.0,11905.949999999999,1904.95,22859.42,15700.0,8.24,1.46,89.12,0.0,"HIGH RISK - Keep human-operated, monitor for changes",SCN_BASE,DEMO_CO
